:START_ID(Keyword),:END_ID(Keyword),:TYPE
azobenzenes,Azobenzene,ALIAS_OF
机器人抓取控制,机器人抓取与操作,ALIAS_OF
巨细胞病毒,人巨细胞病毒,ALIAS_OF
异化劳动,劳动异化,ALIAS_OF
农地规模经营,农业规模经营,ALIAS_OF
胰高血糖素样肽1受体激动剂,胰高血糖素样肽-1受体激动剂,ALIAS_OF
服务功能,功能服务,ALIAS_OF
supra­molecular synthon,Supramolecular Synthons,ALIAS_OF
鸡传染性贫血病,鸡传染性贫血,ALIAS_OF
两部收费契约,两部收费制契约,ALIAS_OF
cyclodextrins,Cyclodextrin,ALIAS_OF
后量子密码算法,后量子密码,ALIAS_OF
全球视野,全球视角,ALIAS_OF
Pd,PD,ALIAS_OF
protein,Protein,ALIAS_OF
技术演变,技术演化,ALIAS_OF
阻尼方程,阻尼微分方程,ALIAS_OF
补肺益肾组分方,补肺益肾方,ALIAS_OF
（1/G）-展开方法,(1/G)-展开法,ALIAS_OF
metal‐organic frameworks,Metal-Organic Frameworks,ALIAS_OF
脐带间充质干细胞,人脐带间充质干细胞,ALIAS_OF
随机Lyapunov函数,随机 Lyapunov函数,ALIAS_OF
超声成像,超声影像,ALIAS_OF
溶胶-凝胶技术,溶胶-凝胶法,ALIAS_OF
nanoparticle,Nanoparticle,ALIAS_OF
“1+X”证书,1+X证书,ALIAS_OF
模型仿真,仿真模型,ALIAS_OF
弥漫性血管内凝血,弥散性血管内凝血,ALIAS_OF
SARS-COV-2,SARS-CoV-2,ALIAS_OF
制造业生产效率,制造业效率,ALIAS_OF
半导体物理学,半导体物理,ALIAS_OF
生物合成途径,生物化学合成途径,ALIAS_OF
全髋关节置换术,人工全髋关节置换术,ALIAS_OF
猪轮状病毒感染,猪轮状病毒,ALIAS_OF
高速机电复合传动系统,机电复合传动系统,ALIAS_OF
气相色谱质谱,气相色谱-质谱法,ALIAS_OF
预防和控制,预防与控制,ALIAS_OF
流感裂解疫苗,流感病毒裂解疫苗,ALIAS_OF
有机场效晶体管,有机场效应晶体管,ALIAS_OF
H7N9亚型禽流感病毒,H7N9亚型禽流感,ALIAS_OF
“人—技关系”,“人—技”关系,ALIAS_OF
on-surface synthesis,On-surface synthesis,ALIAS_OF
基因组育种,基因组学育种,ALIAS_OF
Hirshfeld Surface analysis,Hirshfeld surface analysis,ALIAS_OF
智能辅助诊断,智能医疗诊断,ALIAS_OF
变分自编码器,变分自动编码器,ALIAS_OF
传染性疾病传播,传染性疾病,ALIAS_OF
柯布道格拉斯生产函数模型,柯布道格拉斯生产函数,ALIAS_OF
混合动力车辆,混合动力汽车,ALIAS_OF
压阻式压力传感器,压阻传感器,ALIAS_OF
DNA电化学生物传感器,DNA电化学传感器,ALIAS_OF
数字文化作品,数字文化产品,ALIAS_OF
心肌缺血/再灌注,心肌缺血再灌注损伤,ALIAS_OF
蛋白靶向降解嵌合体,蛋白降解靶向嵌合体,ALIAS_OF
宏基因分箱,宏基因组分箱,ALIAS_OF
阿尔兹海默症,阿尔茨海默病,ALIAS_OF
人工智能教育,人工智能与教育,ALIAS_OF
自动驾驶车辆,自动驾驶汽车,ALIAS_OF
行政自动化决策,商业自动化决策,ALIAS_OF
4型禽腺病毒,禽腺病毒4型,ALIAS_OF
中医技术,中医医疗技术,ALIAS_OF
正电子发射断层,正电子发射断层扫描,ALIAS_OF
高级氧化过程,高级氧化,ALIAS_OF
基因本质论,基因本体论,ALIAS_OF
高能天体物理学,天体爆发活动: 高能天体物理学:天体爆发活动,ALIAS_OF
要素配置优化,要素优化配置,ALIAS_OF
时空演进,时空演化,ALIAS_OF
模拟仿真,仿真模拟,ALIAS_OF
饮食健康,健康饮食,ALIAS_OF
安全帽佩戴检测,安全帽检测,ALIAS_OF
中和性抗体,中和抗体,ALIAS_OF
紫外可见吸收光谱法,紫外-可见吸收光谱,ALIAS_OF
航空制造业,航空制造,ALIAS_OF
乙型肝炎病毒感染,乙型病毒性肝炎,ALIAS_OF
酶联免疫法,酶联免疫,ALIAS_OF
乙肝病毒感染,乙型病毒性肝炎,ALIAS_OF
预训练视觉语言模型,视觉-语言预训练,ALIAS_OF
血管紧张素转换酶2,血管紧张素转化酶2,ALIAS_OF
种植安全,安全种植,ALIAS_OF
十八烷基三氯硅烷（OTS）,十八烷基三氯硅烷,ALIAS_OF
结构方程模型构建,结构方程模型,ALIAS_OF
文本生成图像,文本图像生成,ALIAS_OF
